fecha,provincia,confirmados,muertes,recuperados
2020-03-12,Buenos Aires,3,0,0
2020-03-12,Catamarca,0,0,0
2020-03-12,Chaco,2,0,0
2020-03-12,Chubut,0,0,0
2020-03-12,Ciudad Autónoma de Buenos Aire,2,0,1
2020-03-12,Córdoba,2,0,0
2020-03-12,Corrientes,0,0,0
2020-03-12,Entre Ríos,1,0,0
2020-03-12,Formosa,0,0,0
2020-03-12,Jujuy,0,0,0
2020-03-12,La Pampa,0,0,0
2020-03-12,La Rioja,0,0,0
2020-03-12,Mendoza,0,0,0
2020-03-12,Misiones,0,0,0
2020-03-12,Neuquén,0,0,0
2020-03-12,Rio Negro,0,0,0
2020-03-12,Salta,0,0,0
2020-03-12,San Juan,0,0,0
2020-03-12,San Luis,0,0,0
2020-03-12,Santa Cruz,0,0,0
2020-03-12,Santa Fe,0,0,0
2020-03-12,Santiago del Estero,0,0,0
2020-03-12,Tierra del Fuego,0,0,0
2020-03-12,Tucumán,0,0,0
