fecha,provincia,confirmados,muertes,recuperados
2020-03-03,Buenos Aires,0,0,0
2020-03-03,Catamarca,0,0,0
2020-03-03,Chaco,0,0,0
2020-03-03,Chubut,0,0,0
2020-03-03,Ciudad Autónoma de Buenos Aire,1,0,0
2020-03-03,Córdoba,0,0,0
2020-03-03,Corrientes,0,0,0
2020-03-03,Entre Ríos,0,0,0
2020-03-03,Formosa,0,0,0
2020-03-03,Jujuy,0,0,0
2020-03-03,La Pampa,0,0,0
2020-03-03,La Rioja,0,0,0
2020-03-03,Mendoza,0,0,0
2020-03-03,Misiones,0,0,0
2020-03-03,Neuquén,0,0,0
2020-03-03,Rio Negro,0,0,0
2020-03-03,Salta,0,0,0
2020-03-03,San Juan,0,0,0
2020-03-03,San Luis,0,0,0
2020-03-03,Santa Cruz,0,0,0
2020-03-03,Santa Fe,0,0,0
2020-03-03,Santiago del Estero,0,0,0
2020-03-03,Tierra del Fuego,0,0,0
2020-03-03,Tucumán,0,0,0
