fecha,provincia,confirmados,muertes,recuperados
2020-03-20,Buenos Aires,9,0,0
2020-03-20,Catamarca,0,0,0
2020-03-20,Chaco,1,0,0
2020-03-20,Chubut,0,0,0
2020-03-20,Ciudad Autónoma de Buenos Aire,9,0,0
2020-03-20,Córdoba,5,0,0
2020-03-20,Corrientes,1,0,0
2020-03-20,Entre Ríos,1,0,0
2020-03-20,Formosa,0,0,0
2020-03-20,Jujuy,0,0,0
2020-03-20,La Pampa,0,0,0
2020-03-20,La Rioja,0,0,0
2020-03-20,Mendoza,0,0,0
2020-03-20,Misiones,0,0,0
2020-03-20,Neuquén,2,0,0
2020-03-20,Rio Negro,0,0,0
2020-03-20,Salta,0,0,0
2020-03-20,San Juan,0,0,0
2020-03-20,San Luis,0,0,0
2020-03-20,Santa Cruz,0,0,0
2020-03-20,Santa Fe,0,0,0
2020-03-20,Santiago del Estero,1,0,0
2020-03-20,Tierra del Fuego,1,0,0
2020-03-20,Tucumán,0,0,0
