fecha,provincia,confirmados,muertes,recuperados
2020-03-27,Buenos Aires,36,2,0
2020-03-27,Catamarca,0,0,0
2020-03-27,Chaco,3,0,0
2020-03-27,Chubut,0,0,0
2020-03-27,Ciudad Autónoma de Buenos Aire,43,1,0
2020-03-27,Córdoba,5,0,0
2020-03-27,Corrientes,2,0,0
2020-03-27,Entre Ríos,3,0,0
2020-03-27,Formosa,0,0,0
2020-03-27,Jujuy,0,0,0
2020-03-27,La Pampa,0,0,0
2020-03-27,La Rioja,0,0,0
2020-03-27,Mendoza,1,1,0
2020-03-27,Misiones,1,0,0
2020-03-27,Neuquén,4,0,0
2020-03-27,Rio Negro,3,1,0
2020-03-27,Salta,0,0,0
2020-03-27,San Juan,0,0,0
2020-03-27,San Luis,0,0,0
2020-03-27,Santa Cruz,0,0,0
2020-03-27,Santa Fe,9,0,0
2020-03-27,Santiago del Estero,1,0,0
2020-03-27,Tierra del Fuego,0,0,0
2020-03-27,Tucumán,6,0,0
