fecha,provincia,confirmados,muertes,recuperados
2020-03-22,Buenos Aires,8,0,0
2020-03-22,Catamarca,0,0,0
2020-03-22,Chaco,7,0,0
2020-03-22,Chubut,0,0,0
2020-03-22,Ciudad Autónoma de Buenos Aire,12,0,0
2020-03-22,Córdoba,8,0,0
2020-03-22,Corrientes,0,0,0
2020-03-22,Entre Ríos,0,0,0
2020-03-22,Formosa,0,0,0
2020-03-22,Jujuy,0,0,0
2020-03-22,La Pampa,0,0,0
2020-03-22,La Rioja,0,0,0
2020-03-22,Mendoza,0,0,0
2020-03-22,Misiones,1,0,0
2020-03-22,Neuquén,0,0,0
2020-03-22,Rio Negro,0,0,0
2020-03-22,Salta,0,0,0
2020-03-22,San Juan,0,0,0
2020-03-22,San Luis,0,0,0
2020-03-22,Santa Cruz,0,0,0
2020-03-22,Santa Fe,0,0,0
2020-03-22,Santiago del Estero,0,0,0
2020-03-22,Tierra del Fuego,0,0,0
2020-03-22,Tucumán,5,0,0
