fecha,provincia,confirmados,muertes,recuperados
2020-03-24,Buenos Aires,-3,0,0
2020-03-24,Catamarca,0,0,0
2020-03-24,Chaco,-1,0,0
2020-03-24,Chubut,0,0,0
2020-03-24,Ciudad Autónoma de Buenos Aire,2,0,0
2020-03-24,Córdoba,0,0,0
2020-03-24,Corrientes,0,0,0
2020-03-24,Entre Ríos,0,0,0
2020-03-24,Formosa,0,0,0
2020-03-24,Jujuy,0,0,0
2020-03-24,La Pampa,0,0,0
2020-03-24,La Rioja,0,0,0
2020-03-24,Mendoza,0,0,0
2020-03-24,Misiones,0,0,0
2020-03-24,Neuquén,0,0,0
2020-03-24,Rio Negro,0,0,0
2020-03-24,Salta,0,0,0
2020-03-24,San Juan,0,0,0
2020-03-24,San Luis,0,0,0
2020-03-24,Santa Cruz,0,0,0
2020-03-24,Santa Fe,0,0,0
2020-03-24,Santiago del Estero,0,0,0
2020-03-24,Tierra del Fuego,0,0,0
2020-03-24,Tucumán,0,0,0
