fecha,provincia,confirmados,muertes,recuperados
2020-03-26,Buenos Aires,27,2,0
2020-03-26,Catamarca,0,0,0
2020-03-26,Chaco,3,1,0
2020-03-26,Chubut,0,0,0
2020-03-26,Ciudad Autónoma de Buenos Aire,30,1,0
2020-03-26,Córdoba,3,0,0
2020-03-26,Corrientes,0,0,0
2020-03-26,Entre Ríos,0,0,0
2020-03-26,Formosa,0,0,0
2020-03-26,Jujuy,2,0,0
2020-03-26,La Pampa,0,0,0
2020-03-26,La Rioja,0,0,0
2020-03-26,Mendoza,1,0,0
2020-03-26,Misiones,0,0,0
2020-03-26,Neuquén,3,0,0
2020-03-26,Rio Negro,0,0,0
2020-03-26,Salta,0,0,0
2020-03-26,San Juan,0,0,0
2020-03-26,San Luis,1,0,0
2020-03-26,Santa Cruz,2,0,0
2020-03-26,Santa Fe,12,0,0
2020-03-26,Santiago del Estero,0,0,0
2020-03-26,Tierra del Fuego,3,0,0
2020-03-26,Tucumán,0,0,0
