fecha,provincia,confirmados,muertes,recuperados
2020-03-10,Buenos Aires,1,0,0
2020-03-10,Catamarca,0,0,0
2020-03-10,Chaco,0,0,0
2020-03-10,Chubut,0,0,0
2020-03-10,Ciudad Autónoma de Buenos Aire,1,0,0
2020-03-10,Córdoba,0,0,0
2020-03-10,Corrientes,0,0,0
2020-03-10,Entre Ríos,0,0,0
2020-03-10,Formosa,0,0,0
2020-03-10,Jujuy,0,0,0
2020-03-10,La Pampa,0,0,0
2020-03-10,La Rioja,0,0,0
2020-03-10,Mendoza,0,0,0
2020-03-10,Misiones,0,0,0
2020-03-10,Neuquén,0,0,0
2020-03-10,Rio Negro,0,0,0
2020-03-10,Salta,0,0,0
2020-03-10,San Juan,0,0,0
2020-03-10,San Luis,0,0,0
2020-03-10,Santa Cruz,0,0,0
2020-03-10,Santa Fe,0,0,0
2020-03-10,Santiago del Estero,0,0,0
2020-03-10,Tierra del Fuego,0,0,0
2020-03-10,Tucumán,0,0,0
