fecha,provincia,confirmados,muertes,recuperados
2020-03-15,Buenos Aires,1,0,0
2020-03-15,Catamarca,0,0,0
2020-03-15,Chaco,2,0,0
2020-03-15,Chubut,0,0,0
2020-03-15,Ciudad Autónoma de Buenos Aire,6,0,0
2020-03-15,Córdoba,0,0,0
2020-03-15,Corrientes,0,0,0
2020-03-15,Entre Ríos,0,0,0
2020-03-15,Formosa,0,0,0
2020-03-15,Jujuy,0,0,0
2020-03-15,La Pampa,0,0,0
2020-03-15,La Rioja,0,0,0
2020-03-15,Mendoza,0,0,0
2020-03-15,Misiones,0,0,0
2020-03-15,Neuquén,0,0,0
2020-03-15,Rio Negro,0,0,0
2020-03-15,Salta,0,0,0
2020-03-15,San Juan,0,0,0
2020-03-15,San Luis,0,0,0
2020-03-15,Santa Cruz,0,0,0
2020-03-15,Santa Fe,0,0,0
2020-03-15,Santiago del Estero,0,0,0
2020-03-15,Tierra del Fuego,2,0,0
2020-03-15,Tucumán,0,0,0
