fecha,provincia,confirmados,muertes,recuperados
2020-03-28,Buenos Aires,0,0,0
2020-03-28,Catamarca,0,0,0
2020-03-28,Chaco,0,0,0
2020-03-28,Chubut,0,0,0
2020-03-28,Ciudad Autónoma de Buenos Aire,0,0,0
2020-03-28,Córdoba,0,0,0
2020-03-28,Corrientes,0,0,0
2020-03-28,Entre Ríos,0,0,0
2020-03-28,Formosa,0,0,0
2020-03-28,Jujuy,0,0,0
2020-03-28,La Pampa,0,0,0
2020-03-28,La Rioja,0,0,0
2020-03-28,Mendoza,0,0,0
2020-03-28,Misiones,0,0,0
2020-03-28,Neuquén,0,0,0
2020-03-28,Rio Negro,0,0,0
2020-03-28,Salta,0,0,0
2020-03-28,San Juan,0,0,0
2020-03-28,San Luis,-1,0,0
2020-03-28,Santa Cruz,0,0,0
2020-03-28,Santa Fe,0,0,0
2020-03-28,Santiago del Estero,0,0,0
2020-03-28,Tierra del Fuego,0,0,0
2020-03-28,Tucumán,0,0,0
