fecha,provincia,confirmados,muertes,recuperados
2020-03-14,Buenos Aires,6,0,0
2020-03-14,Catamarca,0,0,0
2020-03-14,Chaco,1,0,0
2020-03-14,Chubut,0,0,0
2020-03-14,Ciudad Autónoma de Buenos Aire,3,0,0
2020-03-14,Córdoba,0,0,0
2020-03-14,Corrientes,0,0,0
2020-03-14,Entre Ríos,0,0,0
2020-03-14,Formosa,0,0,0
2020-03-14,Jujuy,0,0,0
2020-03-14,La Pampa,0,0,0
2020-03-14,La Rioja,0,0,0
2020-03-14,Mendoza,0,0,0
2020-03-14,Misiones,0,0,0
2020-03-14,Neuquén,0,0,0
2020-03-14,Rio Negro,0,0,0
2020-03-14,Salta,0,0,0
2020-03-14,San Juan,0,0,0
2020-03-14,San Luis,0,0,0
2020-03-14,Santa Cruz,0,0,0
2020-03-14,Santa Fe,1,0,0
2020-03-14,Santiago del Estero,0,0,0
2020-03-14,Tierra del Fuego,0,0,0
2020-03-14,Tucumán,0,0,0
