fecha,provincia,confirmados,muertes,recuperados
2020-03-13,Buenos Aires,1,0,0
2020-03-13,Catamarca,0,0,0
2020-03-13,Chaco,0,1,0
2020-03-13,Chubut,0,0,0
2020-03-13,Ciudad Autónoma de Buenos Aire,2,0,0
2020-03-13,Córdoba,0,0,0
2020-03-13,Corrientes,0,0,0
2020-03-13,Entre Ríos,0,0,0
2020-03-13,Formosa,0,0,0
2020-03-13,Jujuy,0,0,0
2020-03-13,La Pampa,0,0,0
2020-03-13,La Rioja,0,0,0
2020-03-13,Mendoza,0,0,0
2020-03-13,Misiones,0,0,0
2020-03-13,Neuquén,0,0,0
2020-03-13,Rio Negro,0,0,0
2020-03-13,Salta,0,0,0
2020-03-13,San Juan,0,0,0
2020-03-13,San Luis,0,0,0
2020-03-13,Santa Cruz,0,0,0
2020-03-13,Santa Fe,0,0,0
2020-03-13,Santiago del Estero,0,0,0
2020-03-13,Tierra del Fuego,0,0,0
2020-03-13,Tucumán,0,0,0
