fecha,provincia,confirmados,muertes,recuperados
2020-03-27,Buenos Aires,-2,0,0
2020-03-27,Catamarca,0,0,0
2020-03-27,Chaco,3,0,0
2020-03-27,Chubut,0,0,0
2020-03-27,Ciudad Autónoma de Buenos Aire,-12,0,0
2020-03-27,Córdoba,-4,0,0
2020-03-27,Corrientes,-1,0,0
2020-03-27,Entre Ríos,0,0,0
2020-03-27,Formosa,0,0,0
2020-03-27,Jujuy,0,0,0
2020-03-27,La Pampa,0,0,0
2020-03-27,La Rioja,0,0,0
2020-03-27,Mendoza,0,0,0
2020-03-27,Misiones,-1,0,0
2020-03-27,Neuquén,-1,0,0
2020-03-27,Rio Negro,1,0,0
2020-03-27,Salta,0,0,0
2020-03-27,San Juan,0,0,0
2020-03-27,San Luis,1,0,0
2020-03-27,Santa Cruz,0,0,0
2020-03-27,Santa Fe,1,0,0
2020-03-27,Santiago del Estero,0,0,0
2020-03-27,Tierra del Fuego,-1,0,0
2020-03-27,Tucumán,0,0,0
